N,kernel_lang,kernel_name
2,"""python""","""conda_tensorflow_p36"""
2,"""python""","""Python [sci]"""
2,"""python""","""conda-env-pyxrf-py"""
2,"""python""","""cetb3"""
2,"""python""","""conda_python36"""
2,"""python""","""conda-env-SIPSim_py3-py"""
2,"""python""","""conda-env-wustl-py"""
2,"""python""","""cliche_py27"""
2,"""python""","""conda-env-biorxiv-licenses-py"""
2,"""python""","""conda-env-pycalphad-py"""
2,"""python""","""intel_distribution_of_python_3_2018u2"""
2,"""python""","""conda-env-py27_tf1-py"""
2,"""python""","""Python [nrf]"""
2,"""python""","""pygchemgitmaster_py27"""
2,"""python""","""ds_py27_env"""
2,"""bash""","""revbayes_kernel"""
2,"""python""","""conda-env-sdcEnv-py"""
2,"""scala""","""iscala-2.11"""
2,"""python""","""kbmod"""
2,"""babel""","""babel"""
2,"""python""","""astroconda_kernel"""
2,"""python""","""conda-env-welly-py"""
2,"""python""","""py36data"""
2,"""python""","""conda-env-enron-py"""
2,"""python""","""ocefpaf_python2"""
2,"""python""","""python-kafka-3.6"""
2,"""python""","""conda-env-tt-py"""
2,"""python""","""nersc_python27"""
2,"""python""","""pythonx"""
2,"""python""","""Python [tflearn]"""
2,"""python""","""dlnd-tf-lab"""
2,"""python""","""ana"""
2,"""python""","""conda-env-thesis-py"""
2,"""python""","""p36_corgi"""
2,"""python""","""conda-env-spatial-py"""
2,"""python""","""conda-env-driveit-py"""
2,"""python""","""conda-env-csci599-py"""
2,"""""","""imongo"""
2,"""python""","""mlenv"""
2,"""python""","""Python [6950]"""
2,"""python""","""conda-env-py2ins-py"""
2,"""python""","""saneth"""
2,"""scilab""","""scilab"""
2,"""cypher""","""cypher"""
2,"""python""","""conda-env-lb_main_analysis-py"""
2,"""python""","""ida32"""
2,"""python""","""ai"""
2,"""python""","""mltutorial"""
2,"""python""","""conda-env-coursera-py"""
2,"""python""","""conda-env-leno-py"""
2,"""python""","""conda-env-qmflows-py"""
2,"""python""","""conda-env-IOOS-py"""
2,"""python""","""pythonwithpixiedustspark21"""
2,"""python""","""conda-env-aiplay3-py"""
2,"""python""","""sandbox-venv-3"""
2,"""python""","""conda-env-jupyter27-py"""
2,"""python""","""tf_1_0"""
2,"""python""","""conda-env-keras2_py36-py"""
2,"""python""","""Python [cs489]"""
2,"""python""","""conda-env-bio-py"""
2,"""python""","""conda-env-ophiuchus-py"""
2,"""python""","""conda-env-tf_v5-py"""
2,"""python""","""conda-env-py3-finance-py"""
2,"""python""","""conda-env-yellowbrick-py"""
2,"""python""","""pythonpathkernel"""
2,"""python""","""tellurium-web"""
2,"""python""","""conda-env-inference-py"""
2,"""python""","""conda_idp2"""
2,"""python""","""Python [env]"""
2,"""python""","""qiskitenv"""
2,"""python""","""nilmtk-env"""
2,"""python""","""conda-env-general-py"""
2,"""""","""ebak"""
2,"""python""","""dstn"""
2,"""python""","""conda-env-mc3-class-py"""
2,"""csharp""","""icsharpkernel"""
2,"""python""","""conda-env-gnome-py"""
2,"""python""","""conda-env-arcgis-pyapi-py"""
2,"""python""","""desi-18.2a"""
2,"""python""","""standard2"""
2,"""python""","""conda-env-dl_course-py"""
2,"""python""","""conda-env-carnd-term1-py"""
2,"""python""","""conda-env-ipynb3-py"""
2,"""python""","""conda-env-WS1617-py"""
2,"""python""","""conda-env-gwb-py"""
2,"""python""","""cellpy"""
2,"""python""","""conda-env-analysis27-py"""
2,"""python""","""conda-env-cs4300-py"""
2,"""python""","""alex_test"""
2,"""python""","""conda_qiime2-2017.9"""
2,"""python""","""conda-env-py3_env-py"""
2,"""python""","""sfg2d"""
2,"""python""","""ml"""
2,"""python""","""Python [astra2]"""
2,"""python""","""conda-env-openai-py"""
2,"""C++11""","""xeus-cling-cpp11"""
2,"""python""","""py3dl"""
2,"""python""","""sandbox-venv-2"""
2,"""python""","""conda-env-aind-py"""
2,"""python""","""ipy_navitron_mac"""
2,"""python""","""py35_nltk"""
2,"""python""","""conda-env-py36_mpl21-py"""
2,"""python""","""pyspark3-lrg"""
2,"""""","""arabesque_1.0.2"""
2,"""python""","""py22"""
2,"""python""","""main_py34"""
2,"""python""","""conda-env-sunpy-py"""
2,"""python""","""conda-env-twoface-new-py"""
2,"""python""","""conda-env-pbpython3-py"""
2,"""python""","""Python [bio]"""
2,"""python""","""python3-wrapper"""
2,"""python""","""conda-env-herschelhelp_internal-py"""
2,"""python""","""python3-spark21"""
2,"""python""","""python3-Syrtis"""
2,"""python""","""conda-env-sunpy-aia-response-py"""
2,"""python""","""bibtex"""
2,"""python""","""dev-mph"""
2,"""python""","""ds"""
2,"""python""","""dlenv"""
2,"""python""","""conda-env-astro-py"""
2,"""python""","""obspy"""
2,"""python""","""conda-env-workshop-py"""
1,"""python""","""conda-env-tf18-py"""
1,"""R""","""ruvseq_r"""
1,"""python""","""Python [Rothschild-Data-Analysis]"""
1,"""python""","""python3-mining-news"""
1,"""python""","""conda-env-geoplot-py"""
1,"""python""","""Python [py36]"""
1,"""R""","""conda-env-renv-r"""
1,"""python""","""Python [hdbscan_dev3]"""
1,,"""sagemath"""
1,"""python""","""conda-env-ebak-py"""
1,"""python""","""conda-env-demo-py"""
1,"""python""","""conda-env-dev.py3.assembly-py"""
1,"""python""","""conda-env-pymc3_dev-py"""
1,"""python""","""Python [mslc]"""
1,"""python""","""system-python"""
1,"""python""","""conda-env-python3base-py"""
1,"""python""","""conda-env-plda-py"""
1,"""python""","""conda-env-urban-occupants-py"""
